sep=;
12:00; Saturday; October 05; 2024
Study name:Side_Impact

Beam Name  ;Element  ;End  ;Axial (N/m^2)  ;Bending Dir1 (N/m^2)  ;Bending Dir2 (N/m^2)  ;Torsional (N/m^2)  ;Worst Case (N/m^2)
  ;  ;2  ;1.4425e+08  ;-1.625e+07  ;2.2283e+08  ;-3.6361e+07  ;3.6767e+08
  ;88  ;1  ;1.4425e+08  ;-1.6248e+07  ;2.2283e+08  ;-3.6361e+07  ;3.6767e+08
  ;  ;2  ;1.4425e+08  ;-2.0542e+07  ;2.4921e+08  ;-3.6361e+07  ;3.9431e+08
  ;89  ;1  ;1.4425e+08  ;-2.0543e+07  ;2.4921e+08  ;-3.6361e+07  ;3.9431e+08
  ;  ;2  ;1.4425e+08  ;-2.4814e+07  ;2.756e+08  ;-3.6361e+07  ;4.2097e+08
Beam-10(Circuler tube 1X0.06(16_GAUGE)(1)[4])  ;  ;  ;  ;  ;  ;  ;
  ;90  ;1  ;4.5236e+06  ;-4.7448e+08  ;-6.3526e+07  ;3.3929e+07  ;4.8324e+08
  ;  ;2  ;4.5236e+06  ;-5.1478e+08  ;-7.1019e+07  ;3.3929e+07  ;5.2418e+08
  ;91  ;1  ;3.6136e+06  ;-5.1874e+08  ;-7.1019e+07  ;-1.1282e+07  ;5.2719e+08
  ;  ;2  ;3.6134e+06  ;-5.5904e+08  ;-7.9615e+07  ;-1.1282e+07  ;5.6829e+08
  ;92  ;1  ;2.5936e+06  ;-5.4663e+08  ;-7.9615e+07  ;-5.9648e+07  ;5.5499e+08
  ;  ;2  ;2.5933e+06  ;-5.8692e+08  ;-8.9053e+07  ;-5.9648e+07  ;5.9623e+08
  ;93  ;1  ;1.4946e+06  ;-5.5729e+08  ;-8.9053e+07  ;-1.097e+08  ;5.6586e+08
  ;  ;2  ;1.4942e+06  ;-5.9759e+08  ;-9.9044e+07  ;-1.097e+08  ;6.0724e+08
  ;94  ;1  ;6.3821e+05  ;-5.6383e+08  ;-9.9044e+07  ;-1.4777e+08  ;5.731e+08
  ;  ;2  ;6.3798e+05  ;-5.8401e+08  ;-1.0416e+08  ;-1.4777e+08  ;5.9387e+08
  ;95  ;1  ;3.1554e+07  ;-1.0996e+08  ;-6.697e+07  ;1.2261e+07  ;1.6031e+08
