sep=;
11:56; Saturday; October 05; 2024
Study name:Front_Impact

Beam Name  ;Element  ;End  ;Axial (N)  ;Shear1 (N)  ;Shear2 (N)  ;Moment 1 (N.m)  ;Moment 2 (N.m)  ;Torque (N.m)
  ;114  ;1  ;32,910  ;71.413  ;179.06  ;-50.719  ;22.467  ;21.507
  ;  ;2  ;-32,910  ;-71.762  ;-179.07  ;43.456  ;-19.563  ;-21.507
  ;115  ;1  ;32,910  ;71.738  ;179.04  ;-43.456  ;19.563  ;21.507
  ;  ;2  ;-32,910  ;-72.087  ;-179.05  ;36.194  ;-16.646  ;-21.507
  ;116  ;1  ;32,910  ;72.111  ;179.07  ;-36.194  ;16.646  ;21.507
  ;  ;2  ;-32,910  ;-72.461  ;-179.08  ;28.931  ;-13.714  ;-21.507
  ;117  ;1  ;32,910  ;72.437  ;179.08  ;-28.931  ;13.714  ;21.507
  ;  ;2  ;-32,910  ;-72.786  ;-179.08  ;21.667  ;-10.769  ;-21.507
  ;118  ;1  ;32,910  ;72.806  ;179.07  ;-21.667  ;10.769  ;21.507
  ;  ;2  ;-32,910  ;-73.155  ;-179.08  ;14.404  ;-7.809  ;-21.507
  ;119  ;1  ;32,910  ;73.135  ;179.08  ;-14.404  ;7.809  ;21.507
  ;  ;2  ;-32,910  ;-73.484  ;-179.09  ;7.1402  ;-4.8355  ;-21.507
  ;120  ;1  ;32,910  ;73.484  ;179.09  ;-7.1402  ;4.8355  ;21.507
  ;  ;2  ;-32,910  ;-73.833  ;-179.09  ;-0.12373  ;-1.8479  ;-21.507
  ;121  ;1  ;32,910  ;73.857  ;179.09  ;0.12374  ;1.8479  ;21.507
  ;  ;2  ;-32,911  ;-74.206  ;-179.1  ;-7.3879  ;1.1548  ;-21.507
  ;122  ;1  ;32,911  ;74.187  ;179.09  ;7.3879  ;-1.1548  ;21.507
  ;  ;2  ;-32,911  ;-74.537  ;-179.1  ;-14.652  ;4.171  ;-21.507
  ;123  ;1  ;32,911  ;74.531  ;179.1  ;14.652  ;-4.171  ;21.507
  ;  ;2  ;-32,911  ;-74.881  ;-179.1  ;-21.917  ;7.2011  ;-21.507
  ;124  ;1  ;32,911  ;74.91  ;179.08  ;21.917  ;-7.2012  ;21.507
